dataset,scale,seed,contrast,raw_uniform_distance,normalized_uniform_distance,difference,qa_mismatch
coil2000,robust_quantile,16,magnitude,0.6372669983416253,0.6314892205638474,0.005777777777777882,0
coil2000,robust_quantile,17,magnitude,0.6850355260681348,0.6749188311688312,0.010116694899303558,0
coil2000,robust_quantile,18,magnitude,0.6738912700867541,0.6539039370774602,0.019987333009293895,0
coil2000,robust_quantile,19,magnitude,0.6614128487962746,0.6569042825203504,0.0045085662759242195,0
coil2000,standardized,0,magnitude,0.6722109249000772,0.6572891101605778,0.014921814739499384,0
coil2000,standardized,1,magnitude,0.6663232506387538,0.6477307068875519,0.018592543751201895,0
coil2000,standardized,2,magnitude,0.6375663230722484,0.6493116424748148,-0.011745319402566401,0
coil2000,standardized,3,magnitude,0.6640556018063019,0.6699904134816721,-0.005934811675370244,0
coil2000,standardized,4,magnitude,0.6651877598309821,0.6643154092550945,0.0008723505758876371,0
coil2000,standardized,5,magnitude,0.6085242312116299,0.649828850178079,-0.0413046189664491,0
coil2000,standardized,6,magnitude,0.6543251811594203,0.6607789855072463,-0.006453804347826053,0
coil2000,standardized,7,magnitude,0.7241120886282177,0.7150374714890844,0.009074617139133379,0
coil2000,standardized,8,magnitude,0.6536972512582269,0.6635049683830172,-0.009807717124790338,0
coil2000,standardized,9,magnitude,0.6211812970664269,0.6386984376756211,-0.01751714060919418,0
coil2000,standardized,10,magnitude,0.635305433119765,0.6423334999469865,-0.0070280668272215685,0
coil2000,standardized,11,magnitude,0.6576718421982499,0.640809794018,0.016862048180249944,0
coil2000,standardized,12,magnitude,0.6093196457326893,0.6473429951690821,-0.03802334943639285,0
coil2000,standardized,13,magnitude,0.673992673992674,0.6867216117216117,-0.012728937728937684,0
coil2000,standardized,14,magnitude,0.6933550852514379,0.6649421712138333,0.028412914037604597,0
coil2000,standardized,15,magnitude,0.6679602888086642,0.6799939831528279,-0.012033694344163681,0
coil2000,standardized,16,magnitude,0.6490812603648424,0.6206169154228856,0.02846434494195682,0
coil2000,standardized,17,magnitude,0.6468273574251835,0.6557559288537549,-0.008928571428571397,0
coil2000,standardized,18,magnitude,0.6646856082364898,0.6501848496899533,0.01450075854653654,0
coil2000,standardized,19,magnitude,0.6407784379361884,0.6384006324345022,0.002377805501686203,0
adult,minmax,0,magnitude,0.7219035153634004,0.616167660311799,0.10573585505160132,0
adult,minmax,1,magnitude,0.7368415237642963,0.613012858598305,0.12382866516599134,0
adult,minmax,2,magnitude,0.7180557069157258,0.6071830119717928,0.11087269494393304,0
adult,minmax,3,magnitude,0.727866861286175,0.614363552051936,0.1135033092342389,0
adult,minmax,4,magnitude,0.7191208865793994,0.6088743215698793,0.11024656500952013,0
adult,minmax,5,magnitude,0.712324844963971,0.6201670190476707,0.09215782591630028,0
adult,minmax,6,magnitude,0.7327919358119538,0.6082649064177065,0.12452702939424731,0
adult,minmax,7,magnitude,0.7245575100005479,0.617842073538276,0.10671543646227188,0
adult,minmax,8,magnitude,0.7284200751913756,0.6067975074253101,0.1216225677660655,0
adult,minmax,9,magnitude,0.7253923096951866,0.6165046445452624,0.1088876651499242,0
adult,minmax,10,magnitude,0.7268113282760144,0.6074991773704417,0.11931215090557268,0
adult,minmax,11,magnitude,0.7329801437410219,0.6195486100311527,0.11343153370986925,0
adult,minmax,12,magnitude,0.7158665290284885,0.6155824445486846,0.10028408447980386,0
adult,minmax,13,magnitude,0.7172776670323233,0.612150938846229,0.10512672818609436,0
adult,minmax,14,magnitude,0.7205794611062422,0.6097206261110588,0.11085883499518334,0
adult,minmax,15,magnitude,0.7216564050976171,0.6161291881648948,0.10552721693272227,0
adult,minmax,16,magnitude,0.7284548307645484,0.6059870695630512,0.12246776120149727,0
adult,minmax,17,magnitude,0.7144225216449926,0.6122077617971291,0.10221475984786355,0
