dataset,target_heterogeneity,measured_heterogeneity,seed,draw,weighted,uniform_l2,gain
credit,0.0,6.190955407923229,3,14,0.6428238767141998,0.6283010628325333,0.01452281388166654
credit,0.0,6.220196224842526,3,15,0.6364696517746693,0.6246401629653975,0.011829488809271815
credit,0.0,6.2303730418813155,3,16,0.639990737083965,0.626631109368043,0.013359627715922029
credit,0.0,6.225110745717362,3,17,0.6372278272575818,0.6265287077022663,0.01069911955531544
credit,0.0,6.2121474835537045,3,18,0.6400189580154783,0.6270078991193618,0.013011058896116423
credit,0.0,6.227704324627589,3,19,0.6359484514852354,0.6240027730693617,0.011945678415873684
credit,0.0,6.188609109587325,4,0,0.6360600451115621,0.6393907600799926,-0.003330714968430515
credit,0.0,6.204355778235449,4,1,0.6442706429260365,0.6374976193628488,0.006773023563187763
credit,0.0,6.206126593255721,4,2,0.6369022383391514,0.6383115916589248,-0.001409353319773432
credit,0.0,6.192206946488002,4,3,0.6418379179983587,0.6346040869391756,0.007233831059183071
credit,0.0,6.211797800045424,4,4,0.6420007124575738,0.634664479732614,0.007336232724959868
credit,0.0,6.192508517746316,4,5,0.6421910827984392,0.6351528631102594,0.007038219688179748
credit,0.0,6.184137607119472,4,6,0.6446428366970802,0.6362648484431157,0.008377988253964519
credit,0.0,6.2110410569707035,4,7,0.6413817064826381,0.6384743861181399,0.002907320364498256
credit,0.0,6.205392037851692,4,8,0.642852097645713,0.636157850797064,0.006694246848649055
credit,0.0,6.178898514897272,4,9,0.6396933690970479,0.6367624237813114,0.002930945315736455
credit,0.0,6.197059477184653,4,10,0.6341577124338682,0.6372974120115703,-0.003139699577702104
credit,0.0,6.202797003334823,4,11,0.6326781293102434,0.6357902530062952,-0.0031121236960518495
credit,0.0,6.179267177372254,4,12,0.6403399509536336,0.6355670657536416,0.004772885199991972
credit,0.0,6.192551010257734,4,13,0.6377720074483908,0.6344970892931237,0.003274918155267148
credit,0.0,6.195546120022766,4,14,0.6437310587155025,0.6362694444233907,0.0074616142921117845
credit,0.0,6.204993947362488,4,15,0.636846441525988,0.6348738790444425,0.0019725624815455367
credit,0.0,6.214150556134992,4,16,0.6380096276917326,0.6367020309878729,0.0013075967038597147
credit,0.0,6.166244914822131,4,17,0.6380326075931078,0.6377254025957775,0.0003072049973302793
credit,0.0,6.189655900931545,4,18,0.6403583348747337,0.6371392135326301,0.003219121342103559
credit,0.0,6.188424008780913,4,19,0.639451152873431,0.6361066499641755,0.0033445029092554757
credit,0.0,5.980172113551553,5,0,0.6408696981537545,0.6285938348391753,0.012275863314579194
credit,0.0,6.008624534577366,5,1,0.6506944526195555,0.6368136246141998,0.013880828005355728
credit,0.0,6.009660124882042,5,2,0.6436982418037143,0.6303707859497174,0.013327455853996861
credit,0.0,6.021415646234229,5,3,0.6469961398603564,0.6291892158628727,0.017806923997483737
credit,0.0,6.027043269447904,5,4,0.6478383330879456,0.629510208801028,0.018328124286917546
credit,0.0,6.019258713815522,5,5,0.645033414389224,0.630305797176004,0.014727617213220023
credit,0.0,6.015025111537161,5,6,0.6427956557826866,0.6306871829075977,0.012108472875088871
credit,0.0,6.02535212644691,5,7,0.6439588419484312,0.6315011552036737,0.012457686744757557
credit,0.0,6.02236648874394,5,8,0.6470801576050331,0.6288032341510039,0.018276923454029204
credit,0.0,5.999843329551312,5,9,0.6462379643774439,0.6304777835957691,0.015760180781674737
credit,0.0,6.031963708610915,5,10,0.6468799502537546,0.6279006481299763,0.018979302123778297
credit,0.0,6.020172383828261,5,11,0.6448844078708339,0.634394687627347,0.010489720243486933
credit,0.0,6.031598131295211,5,12,0.6460659779576786,0.6335341104786576,0.01253186747902102
credit,0.0,6.018525374548901,5,13,0.6459681722721768,0.629235820715486,0.01673235155669084
credit,0.0,6.030221124187473,5,14,0.6470893495655832,0.6296263984076299,0.017462951157953266
credit,0.0,6.001417055936677,5,15,0.6438564402826543,0.6278448513168129,0.016011588965841428
credit,0.0,6.036706364131868,5,16,0.6497642907168778,0.6302079914905022,0.019556299226375584
credit,0.0,6.006856901562784,5,17,0.6500058618906315,0.6279472529825896,0.0220586089080419
credit,0.0,6.037104910897436,5,18,0.6472613359853483,0.630040601051012,0.01722073493433629
credit,0.0,6.024431127863916,5,19,0.6486477094037466,0.6306963748681478,0.01795133453559883
credit,0.0,6.206873633856714,6,0,0.6523414261826708,0.6489365304799768,0.0034048957026939775
credit,0.0,6.200537088731799,6,1,0.6525416335339492,0.6472757689760366,0.0052658645579126695
credit,0.0,6.202981311994758,6,2,0.6523880310352841,0.6515228579063197,0.0008651731289643916
credit,0.0,6.196530378638039,6,3,0.6483779172984796,0.6485177318563197,-0.0001398145578400678
credit,0.0,6.179149437755629,6,4,0.6546067606708583,0.6523184462812956,0.0022883143895626734
credit,0.0,6.194822833671126,6,5,0.6547695551300734,0.6482341518102277,0.006535403319845701
credit,0.0,6.211056141313731,6,6,0.6569423249628976,0.64882493685365,0.00811738810924767
credit,0.0,6.201694308489119,6,7,0.6494295098378974,0.6481829509773392,0.0012465588605581335
credit,0.0,6.194802478643452,6,8,0.6557279379642647,0.6506668767379054,0.005061061226359298
credit,0.0,6.205359962096951,6,9,0.6507968542853323,0.6512530658010527,-0.000456211515720395
credit,0.0,6.223960560538694,6,10,0.6544767831234314,0.6487179392075981,0.005758843915833256
credit,0.0,6.228862679269646,6,11,0.6510436664892242,0.649103920919467,0.0019397455697571786
credit,0.0,6.2048980079839335,6,12,0.6477175475010688,0.6486759303352598,-0.0009583828341910294
credit,0.0,6.18870617895536,6,13,0.6512622577616028,0.6500156989010447,0.0012465588605581335
credit,0.0,6.198945122894824,6,14,0.6505132742392403,0.6443172477786498,0.006196026460590476
credit,0.0,6.231216685799905,6,15,0.6469173631458178,0.6493179162115705,-0.0024005530657527085
credit,0.0,6.2221202163732166,6,16,0.6568071063853325,0.6500202948813196,0.006786811504012835
credit,0.0,6.203570666663091,6,17,0.6530812177444831,0.6507600864431322,0.0023211313013509205
credit,0.0,6.220798911095847,6,18,0.6500386788024197,0.6463593950141838,0.0036792837882358986
credit,0.0,6.195678904886783,6,19,0.6528252135800412,0.6484527430826063,0.004372470497434944
credit,0.0,6.219614902564733,7,0,0.649382904985284,0.6460804109483669,0.0033024940369170697
credit,0.0,6.230345934966583,7,1,0.6536208019550171,0.6444104574838766,0.009210344471140552
credit,0.0,6.202455222261187,7,2,0.6495036905721608,0.642419511081231,0.007084179490929876
credit,0.0,6.197026165302035,7,3,0.6520204332445154,0.6451174321339008,0.006903001110614593
credit,0.0,6.210550377552146,7,4,0.6540021876866109,0.6468385864312793,0.007163601255331553
credit,0.0,6.218738890653869,7,5,0.650885468010284,0.6474293714747017,0.0034560965355823203
credit,0.0,6.205586806946426,7,6,0.646661358981376,0.6433404810233587,0.0033208779580172765
credit,0.0,6.230195607930967,7,7,0.644879811890559,0.6430706889180917,0.0018091229724672697
credit,0.0,6.202343700365431,7,8,0.6530950056853082,0.6434008738167971,0.009694131868511091
credit,0.0,6.2078591915809875,7,9,0.6487875239615867,0.6475317731404784,0.0012557508211082924
credit,0.0,6.203761523441391,7,10,0.649666485031376,0.6442102501325981,0.00545623489877789
credit,0.0,6.221445772760781,7,11,0.6520670380971287,0.6431356776918051,0.008931360405323607
credit,0.0,6.213457521714124,7,12,0.6562629261945235,0.6477969692654705,0.008465956929053053
credit,0.0,6.181989773779121,7,13,0.6519042436379135,0.6408611512430675,0.011043092394846021
credit,0.0,6.2218835597733175,7,14,0.6457915898721367,0.6489181465588767,-0.0031265566867400008
credit,0.0,6.201055730263308,7,15,0.6523552141234958,0.6420519132904623,0.010303300833033546
credit,0.0,6.205428388850995,7,16,0.6529926040195315,0.6414053314338765,0.011587272585655062
credit,0.0,6.20574474641374,7,17,0.6525974303471127,0.6483923502891678,0.004205080057944954
credit,0.0,6.21503176786384,7,18,0.6548811487564004,0.6459734133023151,0.008907735454085297
credit,0.0,6.1992244173818785,7,19,0.6507226735510688,0.6444196494444265,0.0063030241066422965
credit,0.0,6.212981232618643,8,0,0.6374608515206486,0.6290270664535207,0.008433785067127886
credit,0.0,6.203634014027007,8,1,0.6360324692299121,0.6271851265692652,0.008847342660646906
credit,0.0,6.203863173801109,8,2,0.6378422372522424,0.6326741783798315,0.005168058872410897
credit,0.0,6.221528062934833,8,3,0.6396611972351227,0.6294504610574528,0.010210736177669877
credit,0.0,6.23076148123233,8,4,0.6425357006878327,0.6333719610693056,0.009163739618527122
credit,0.0,6.194351679586078,8,5,0.6338275275351628,0.6266547343192813,0.00717279321588149
credit,0.0,6.195941888533023,8,6,0.6363908750601307,0.6303156341864171,0.006075240873713583
credit,0.0,6.189027483737851,8,7,0.6341065116009799,0.6273525170087555,0.006753994592224366
credit,0.0,6.245415410052531,8,8,0.6386562095483184,0.6284874822429867,0.010168727305331693
credit,0.0,6.174820405366346,8,9,0.6422751005431158,0.6317578044179788,0.010517296125136966
credit,0.0,6.189590620516275,8,10,0.63711163765098,0.6304226318324689,0.006689005818511062
credit,0.0,6.21570294050606,8,11,0.6359162796233102,0.6271385217166519,0.008777757906658357
credit,0.0,6.203488787269818,8,12,0.6360278732496369,0.631385610646935,0.004642262602701952
credit,0.0,6.183990524274244,8,13,0.6416705275588686,0.630148243746927,0.011522283811941536
credit,0.0,6.219265588330605,8,14,0.6404521896298236,0.6317715923588039,0.008680597271019774
credit,0.0,6.194537155392294,8,15,0.6417125364312068,0.6294504610574528,0.012262075373754011
credit,0.0,6.189370681054524,8,16,0.6342279422377199,0.6340789357193297,0.00014900651839022672
credit,0.0,6.169223309375041,8,17,0.638330620629888,0.630148243746927,0.008182376882960973
credit,0.0,6.185780862053822,8,18,0.6362464645220156,0.633967342093003,0.0022791224290126255
credit,0.0,6.211978146014915,8,19,0.6313153808430834,0.6261197460890224,0.005195634754060929
credit,0.0,6.046494082538523,9,0,0.6566121400641922,0.6277844585233745,0.028827681540817718
credit,0.0,6.0124838592763235,9,1,0.6568261353562957,0.6296080144865298,0.027218120869765938
credit,0.0,6.028859063485188,9,2,0.6555513555642243,0.630040601051012,0.025510754513212275
credit,0.0,6.034877581903006,9,3,0.6598312614062958,0.6268634885812467,0.032967772825049035
credit,0.0,6.026860769511994,9,4,0.6581888838234558,0.6235373695930913,0.0346515142303645
credit,0.0,6.03381368659803,9,5,0.6624641936852521,0.6283194467536334,0.03414474693161873
credit,0.0,6.007765228571907,9,6,0.6551095770391921,0.6240677618430752,0.03104181519611693
credit,0.0,6.026756670282819,9,7,0.6476433667668053,0.6278310633759878,0.01981230339081752
credit,0.0,6.000789578878642,9,8,0.6561329486470966,0.6247701405128243,0.03136280813427228
credit,0.0,6.004354576274576,9,9,0.6576263197115466,0.626216906724661,0.0314094129868856
credit,0.0,6.019789722369447,9,10,0.6538768061194591,0.6281612482746932,0.02571555784476587
credit,0.0,6.0140379849869925,9,11,0.658765880926053,0.6286962365049522,0.030069644421100827
credit,0.0,6.021154331465846,9,12,0.6555191837022991,0.627728661710211,0.02779052199208809
credit,0.0,6.015185217566279,9,13,0.6557653508563279,0.6274634655852191,0.028301885271108773
credit,0.0,6.021513695916811,9,14,0.6565005464378653,0.6290218254233825,0.027478721014482788
credit,0.0,6.038541627441732,9,15,0.6484107342102678,0.6248351292865377,0.02357560492373012
credit,0.0,6.004872655004504,9,16,0.6552677755181322,0.6245003484075573,0.030767427110574896
credit,0.0,6.011450190042261,9,17,0.6535558131813037,0.6268588926009717,0.026696920580332018
