dataset,seed,features,weighted,uniform_l2,cosine,logistic,n_test,heterogeneity,weighted_minus_cosine,weighted_minus_uniform,weighted_minus_logistic
heloc,7,23,0.704448717948718,0.6993479853479854,0.6888058608058608,0.7075842490842491,2092.0,4.584942023553356,0.01564285714285718,0.005100732600732627,-0.003135531135531111
heloc,8,23,0.6933388278388278,0.672412087912088,0.669448717948718,0.6898534798534799,2092.0,4.498986377816593,0.023890109890109867,0.02092673992673988,0.003485347985347942
heloc,9,23,0.7089542124542125,0.6843223443223443,0.6888534798534799,0.7207948717948718,2092.0,4.541717725004242,0.02010073260073264,0.02463186813186824,-0.011840659340659254
heloc,10,23,0.7208278388278389,0.7201373626373626,0.712474358974359,0.7369523809523809,2092.0,4.50034720720561,0.008353479853479895,0.0006904761904762413,-0.016124542124542063
heloc,11,23,0.7242326007326008,0.7057692307692307,0.7036373626373627,0.7287472527472527,2092.0,4.514628584076743,0.02059523809523811,0.018463369963370058,-0.004514652014651954
heloc,12,23,0.7186172161172162,0.7073956043956044,0.7028956043956044,0.7303315018315018,2092.0,4.465642052560424,0.015721611721611795,0.011221611721611735,-0.011714285714285566
heloc,13,23,0.7199542124542124,0.7092326007326006,0.7079798534798535,0.725095238095238,2092.0,4.45726400968328,0.011974358974358945,0.01072161172161179,-0.005141025641025587
heloc,14,23,0.6992857142857143,0.6856483516483517,0.6811062271062271,0.7033791208791209,2092.0,4.478800813314682,0.01817948717948714,0.013637362637362593,-0.004093406593406623
heloc,15,23,0.712459706959707,0.7066483516483517,0.6970641025641026,0.720510989010989,2092.0,4.545717261993424,0.01539560439560439,0.005811355311355237,-0.008051282051282027
heloc,16,23,0.703543956043956,0.6871483516483516,0.6804798534798535,0.7068003663003664,2092.0,4.459605516537187,0.023064102564102518,0.01639560439560439,-0.0032564102564103248
heloc,17,23,0.7173278388278388,0.7197527472527472,0.7101739926739927,0.7348681318681318,2092.0,4.336942209846057,0.007153846153846066,-0.0024249084249083896,-0.01754029304029303
heloc,18,23,0.7254065934065934,0.7027326007326007,0.7012271062271063,0.7256208791208791,2092.0,4.536777392618396,0.024179487179487147,0.022673992673992727,-0.0002142857142857224
heloc,19,23,0.709032967032967,0.7024688644688645,0.7016318681318682,0.7180842490842491,2092.0,4.515077181246262,0.007401098901098857,0.0065641025641025585,-0.009051282051282028
